City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
qaanaaq,GL,77.484,-69.3632,-25.85,71,0,7.67,1644595939
east london,ZA,-33.0153,27.9116,76.01,73,74,7.05,1644595939
new norfolk,AU,-42.7826,147.0587,51.71,61,0,2.42,1644595940
snezhnogorsk,RU,69.1933,33.2531,22.78,98,77,11.25,1644595940
rikitea,PF,-23.1203,-134.9692,79.0,72,2,18.57,1644595940
lagoa,PT,39.05,-27.9833,59.13,72,41,11.83,1644595941
ushuaia,AR,-54.8,-68.3,53.22,68,100,4.25,1644595683
vaini,TO,-21.2,-175.2,78.96,94,20,4.61,1644595941
port alfred,ZA,-33.5906,26.891,73.45,72,1,6.53,1644595941
richards bay,ZA,-28.783,32.0377,79.9,74,1,11.34,1644595942
hobart,AU,-42.8794,147.3294,52.05,72,9,9.22,1644595732
albany,US,42.6001,-73.9662,45.63,61,37,1.01,1644595166
arraial do cabo,BR,-22.9661,-42.0278,75.06,88,75,9.22,1644595942
aykhal,RU,66.0,111.5,-5.46,100,98,6.04,1644595942
koumac,NC,-20.5667,164.2833,78.37,86,100,5.68,1644595943
upernavik,GL,72.7868,-56.1549,-15.38,76,100,12.35,1644595943
naze,JP,28.3667,129.4833,56.95,64,95,5.86,1644595943
tynda,RU,55.1667,124.7167,-17.57,95,99,2.59,1644595944
severnyy,RU,50.677,36.5532,35.64,93,100,11.18,1644595944
namibe,AO,-15.1961,12.1522,78.71,72,60,11.88,1644595944
nemuro,JP,43.3236,145.575,23.43,79,85,8.93,1644595945
monteagudo,BO,-19.8167,-63.9833,83.98,33,11,4.88,1644595945
salalah,OM,17.0151,54.0924,72.32,64,9,4.45,1644595945
ancud,CL,-41.8697,-73.8203,62.13,52,0,5.97,1644595945
lata,PT,40.1629,-8.3327,70.48,46,48,6.04,1644595946
avarua,CK,-21.2078,-159.775,73.45,100,15,2.3,1644595946
mehamn,NO,71.0357,27.8492,31.95,74,75,20.71,1644595946
khatanga,RU,71.9667,102.5,8.02,84,99,16.44,1644595947
pisco,PE,-13.7,-76.2167,77.05,57,0,16.11,1644595947
tasiilaq,GL,65.6145,-37.6368,19.56,60,100,4.32,1644595947
galveston,US,29.3669,-94.9669,66.24,75,0,6.91,1644595758
cayenne,GF,4.9333,-52.3333,78.84,85,75,8.05,1644595948
cape town,ZA,-33.9258,18.4232,76.12,49,1,11.86,1644595748
esperance,AU,-33.8667,121.9,74.88,71,94,4.09,1644595948
naryan-mar,RU,67.6713,53.087,18.27,91,100,18.68,1644595949
mataura,NZ,-46.1927,168.8643,53.67,86,100,2.53,1644595949
kilindoni,TZ,-7.9139,39.6668,81.36,77,100,11.72,1644595949
graciano sanchez,MX,23.9167,-99.2833,59.95,73,61,4.85,1644595949
jamestown,US,42.097,-79.2353,45.72,56,75,17.27,1644595830
busselton,AU,-33.65,115.3333,63.09,88,27,6.73,1644595950
hilo,US,19.7297,-155.09,66.11,83,0,5.75,1644595657
inuvik,CA,68.3499,-133.7218,-19.48,98,99,4.76,1644595950
udachnyy,RU,66.4167,112.4,-2.94,100,99,3.71,1644595950
mantua,IT,45.1667,10.7833,55.27,79,100,2.44,1644595951
duldurga,RU,50.6761,113.5931,-15.95,96,27,3.98,1644595951
ponta do sol,PT,32.6667,-17.1,72.23,80,1,0.2,1644595951
farafangana,MG,-22.8167,47.8333,78.13,83,29,6.53,1644595952
lebu,CL,-37.6167,-73.65,60.48,55,0,24.14,1644595952
camana,PE,-16.6228,-72.7111,75.58,66,70,11.39,1644595952
vila velha,BR,-20.3297,-40.2925,77.95,85,75,12.66,1644595953
okha,RU,53.5739,142.9478,14.97,92,100,4.7,1644595953
marsa matruh,EG,31.3525,27.2453,57.49,60,62,8.34,1644595953
astaneh-ye ashrafiyeh,IR,37.2596,49.9444,46.33,90,100,0.98,1644595954
ilulissat,GL,69.2167,-51.1,23.02,50,75,14.97,1644595762
kaitangata,NZ,-46.2817,169.8464,55.36,89,100,2.46,1644595954
ust-kut,RU,56.7938,105.7672,-24.45,100,43,1.36,1644595954
pevek,RU,69.7008,170.3133,-23.73,98,100,6.51,1644595936
west fargo,US,46.875,-96.9004,0.01,79,100,39.12,1644595761
punta arenas,CL,-53.15,-70.9167,57.22,67,75,23.02,1644595955
inta,RU,66.0317,60.1659,8.8,75,100,13.38,1644595955
svetlogorsk,BY,52.6333,29.7333,31.3,90,88,5.44,1644595955
auki,SB,-8.7676,160.7034,74.98,95,100,2.95,1644595956
dikson,RU,73.5069,80.5464,6.04,91,100,26.4,1644595956
kavieng,PG,-2.5744,150.7967,81.73,75,98,6.31,1644595956
bethel,US,41.3712,-73.414,50.58,48,0,9.22,1644595957
kruisfontein,ZA,-34.0033,24.7314,72.97,53,0,8.97,1644595957
srednekolymsk,RU,67.45,153.6833,-37.25,100,39,5.68,1644595957
chokurdakh,RU,70.6333,147.9167,-7.62,97,100,12.12,1644595957
odweyne,SO,9.4092,45.064,67.21,53,33,12.48,1644595958
ormond beach,US,29.2858,-81.0559,73.17,57,0,6.91,1644595958
bluff,NZ,-46.6,168.3333,56.52,74,53,12.03,1644595959
cidreira,BR,-30.1811,-50.2056,79.05,70,0,14.65,1644595959
port blair,IN,11.6667,92.75,79.05,73,75,8.97,1644595959
guerrero negro,MX,27.9769,-114.0611,65.98,30,0,3.94,1644595959
nabire,ID,-3.3667,135.4833,74.37,96,100,2.73,1644595960
kapaa,US,22.0752,-159.319,67.98,94,0,10.36,1644595960
severomuysk,RU,56.1481,113.4267,-31.85,95,24,2.73,1644595961
bredasdorp,ZA,-34.5322,20.0403,75.27,58,0,9.66,1644595961
urumqi,CN,43.801,87.6005,9.55,92,75,2.24,1644595806
ribeira grande,PT,38.5167,-28.7,64.8,59,40,9.22,1644595961
hermanus,ZA,-34.4187,19.2345,75.9,77,7,6.82,1644595961
castro,BR,-24.7911,-50.0119,78.12,46,0,5.21,1644595962
axim,GH,4.8699,-2.2405,84.43,68,39,11.81,1644595962
bengkulu,ID,-3.8004,102.2655,75.25,89,85,4.68,1644595962
los llanos de aridane,ES,28.6585,-17.9182,71.35,43,0,4.61,1644595963
coquimbo,CL,-29.9533,-71.3436,71.33,64,20,13.8,1644595949
san carlos,VE,9.6612,-68.5827,89.13,42,56,4.79,1644595963
bayir,TR,37.2687,28.2167,50.83,64,0,2.71,1644595963
mar del plata,AR,-38.0023,-57.5575,62.87,72,100,16.11,1644595856
yarmouth,US,41.7057,-70.2286,52.11,54,0,10.36,1644595964
colares,PT,38.7992,-9.4469,70.32,59,20,15.01,1644595964
huilong,CN,31.8111,121.655,45.03,81,100,8.77,1644595964
mahebourg,MU,-20.4081,57.7,77.25,77,79,5.79,1644595965
atuona,PF,-9.8,-139.0333,77.09,78,24,15.46,1644595965
leh,IN,34.1667,77.5833,-9.08,67,5,4.03,1644595690
saskylakh,RU,71.9167,114.0833,0.46,89,99,11.61,1644595965
malakal,SS,9.5334,31.6605,90.1,15,49,7.87,1644595965
pangai,TO,-19.8,-174.35,81.91,76,6,12.88,1644595966
ostrovnoy,RU,68.0531,39.5131,19.51,92,100,11.81,1644595966
saint george,US,37.1041,-113.5841,58.35,49,0,4.61,1644595966
trinidad,BO,-14.8333,-64.9,87.78,66,75,9.22,1644595967
hithadhoo,MV,-0.6,73.0833,81.86,69,100,8.25,1644595967
mouzouras,GR,35.5333,24.15,56.43,76,20,0.0,1644595967
thompson,CA,55.7435,-97.8558,-25.44,86,5,8.03,1644595968
gao,ML,16.6362,1.637,88.25,6,0,6.58,1644595968
kodiak,US,57.79,-152.4072,36.91,93,100,4.61,1644595968
vega de alatorre,MX,20.0333,-96.6333,67.95,80,97,5.14,1644595968
cacoal,BR,-11.4386,-61.4472,81.05,83,78,6.98,1644595969
mercedes,AR,-34.6515,-59.4307,87.85,49,83,17.05,1644595969
barrow,US,71.2906,-156.7887,-27.38,75,0,8.05,1644595969
bitung,ID,1.4451,125.1824,76.05,84,97,4.83,1644595970
san andres,CO,12.5847,-81.7006,84.22,70,40,16.11,1644595970
tepetitla,MX,19.2833,-98.3833,55.62,50,20,4.61,1644595970
esmeraldas,BR,-19.7625,-44.3139,79.66,70,99,2.37,1644595971
charagua,BO,-19.8,-63.2167,87.37,45,47,10.36,1644595971
tilichiki,RU,60.4667,166.1,-16.47,84,1,9.01,1644595971
erzin,TR,36.9559,36.2,54.32,79,5,2.1,1644595972
cherskiy,RU,68.75,161.3,-37.79,99,50,5.28,1644595972
antofagasta,CL,-23.65,-70.4,75.22,56,5,8.97,1644595972
blackwater,AU,-23.5833,148.8833,71.67,72,0,10.16,1644595972
darhan,MN,49.4867,105.9228,-18.02,99,20,2.37,1644595973
borazjan,IR,29.2666,51.2159,68.32,47,68,1.9,1644595973
kidal,ML,18.4411,1.4078,84.09,6,1,4.63,1644595973
caravelas,BR,-17.7125,-39.2481,87.3,54,10,10.18,1644595974
goderich,CA,43.7501,-81.7165,35.2,98,100,24.29,1644595974
georgetown,MY,5.4112,100.3354,81.9,77,20,0.0,1644595680
bose,IT,45.4612,8.0137,54.66,63,18,3.62,1644595974
puerto carreno,CO,6.189,-67.4859,92.32,36,100,11.63,1644595974
shu,KZ,43.5983,73.7614,38.23,57,100,7.27,1644595975
marystown,CA,47.1666,-55.1483,39.85,100,99,8.01,1644595975
dunedin,NZ,-45.8742,170.5036,54.97,97,100,0.31,1644595975
leningradskiy,RU,69.3833,178.4167,-16.98,97,100,4.27,1644595976
birjand,IR,32.8663,59.2211,52.99,34,0,4.92,1644595976
butaritari,KI,3.0707,172.7902,80.64,81,71,17.11,1644595976
gboko,NG,7.3179,8.9951,98.67,6,7,7.29,1644595977
lahat,ID,-3.8,103.5333,71.49,87,98,2.37,1644595977
amahai,ID,-3.3333,128.9167,78.3,85,100,3.09,1644595977
picota,PE,-6.9197,-76.3304,84.88,67,99,1.07,1644595978
karratha,AU,-20.7377,116.8463,85.78,69,6,5.48,1644595978
kwinana,AU,-32.25,115.7667,71.94,80,12,8.37,1644595978
shawinigan,CA,46.5668,-72.7491,25.9,92,99,5.59,1644595978
port elizabeth,ZA,-33.918,25.5701,72.36,65,0,7.36,1644595979
camacha,PT,33.0833,-16.3333,68.76,72,40,12.66,1644595979
padang,ID,-0.9492,100.3543,77.36,80,100,3.67,1644595979
chuy,UY,-33.6971,-53.4616,83.88,54,4,10.98,1644595980
yellowknife,CA,62.456,-114.3525,-24.59,91,96,6.53,1644595980
laguna,US,38.421,-121.4238,61.3,91,0,0.0,1644595907
yarim,YE,14.298,44.3779,57.31,59,25,1.99,1644595980
chapais,CA,49.7834,-74.8492,7.77,89,100,8.32,1644595981
kismayo,SO,-0.3582,42.5454,77.76,80,57,17.05,1644595981
sabang,ID,5.8933,95.3214,81.45,73,100,11.63,1644595981
tuktoyaktuk,CA,69.4541,-133.0374,-17.36,94,100,12.77,1644595982
kastamonu,TR,41.5,33.6667,33.76,78,0,1.59,1644595982
wenzhou,CN,27.9994,120.6668,49.73,94,100,2.95,1644595982
banda aceh,ID,5.5577,95.3222,78.53,81,100,7.92,1644595983
wahpeton,US,46.2652,-96.6059,7.02,78,100,34.52,1644595983
katsuura,JP,35.1333,140.3,40.19,68,14,13.06,1644595754
